Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,Year
IR-O-U-0025,National Institute of Technology Warangal,Warangal,Telangana,51.83,53,57.69,39.42,73.79,58.99,20.33,2023
IR-O-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,51.62,54,61.05,33.04,73.62,69.11,17.73,2023
IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,51.15,55,68.52,23.47,69.35,74.68,22.05,2023
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,50.99,56,61.51,36.63,73.97,52.13,15.54,2023
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,50.88,57,47.8,47.16,71.25,64.65,16.65,2023
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,50.77,58,70.64,26.93,79.58,53.05,2.77,2023
IR-O-U-0329,Symbiosis International,Pune,Maharashtra,50.59,59,67.62,22.91,77.78,63.18,15.54,2023
IR-O-U-0272,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,50.58,60,69.05,31.54,63.8,68.33,8.15,2023
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,50.54,61,59.19,35.77,66.39,59.17,28.52,2023
IR-O-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,50.36,62,54.44,42.78,70.67,60.93,9.8,2023
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,50.34,63,62.4,34.36,73.79,51.74,13.81,2023
IR-O-U-0027,Osmania University,Hyderabad,Telangana,49.94,64,58.74,31.24,81.26,57.91,9.15,2023
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,49.93,65,64.74,32.9,69.4,53.23,14.39,2023
IR-O-U-0064,Indian Institute of Technology Patna,Patna,Bihar,49.79,66,52.66,42.86,70.65,57.06,12.92,2023
IR-O-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,49.79,66,66.08,31.56,64.6,66.66,9.15,2023
IR-O-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,49.79,66,53.57,38.83,70.43,58.7,21.07,2023
IR-O-U-0498,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,49.53,69,59.83,24.29,82.07,76.83,2.0,2023
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,49.45,70,57.54,36.39,74.18,52.05,12.31,2023
IR-O-U-0235,Mysore University,Mysuru,Karnataka,49.17,71,67.43,18.61,87.02,54.62,5.01,2023
IR-O-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,49.04,72,57.76,30.74,67.91,66.08,23.0,2023
IR-O-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,49.03,73,56.69,37.36,63.04,67.59,14.39,2023
IR-O-U-0381,"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,48.97,74,70.53,28.29,67.48,50.37,7.82,2023
IR-O-U-0295,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,48.92,75,67.16,32.85,62.14,64.76,0.0,2023
IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,48.54,76,54.39,25.74,84.77,58.63,16.92,2023
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,48.52,77,70.83,26.63,63.34,56.64,9.48,2023
IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,48.4,78,56.02,32.49,70.37,66.02,11.7,2023
IR-O-U-0564,UPES,Dehradun,Uttarakhand,48.34,79,58.19,28.69,60.55,67.05,34.47,2023
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,48.18,80,57.79,37.02,67.61,53.63,8.49,2023
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,48.17,81,70.64,20.55,63.6,62.36,18.53,2023
IR-O-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,48.15,82,53.93,39.03,68.88,55.67,9.15,2023
IR-O-U-0055,National Institute of Technology Silchar,Silchar,Assam,48.12,83,51.36,42.81,68.84,54.16,6.78,2023
IR-O-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,47.95,84,53.39,35.72,64.67,66.38,16.38,2023
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,47.91,85,64.84,18.62,83.31,59.33,2.77,2023
IR-O-U-0691,"All India Institute of Medical Sciences, Rishikesh",Rishikesh,Uttarakhand,47.89,86,70.55,29.68,49.57,69.59,9.48,2023
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,47.55,87,54.75,27.23,77.53,62.47,12.01,2023
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies ,Mumbai,Maharashtra,47.46,88,70.37,21.34,64.97,64.61,5.01,2023
IR-O-U-0555,Graphic Era University,Dehradun,Uttarakhand,47.29,89,57.45,22.95,64.11,69.99,33.38,2023
IR-O-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,46.81,90,51.12,34.57,72.25,56.11,10.45,2023
IR-O-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,46.73,91,47.35,37.34,67.86,58.25,19.31,2023
IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,46.48,92,58.85,34.69,61.46,57.77,3.53,2023
IR-O-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,46.33,93,71.27,14.78,69.8,55.16,10.45,2023
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,46.26,94,63.47,24.45,68.37,51.8,10.45,2023
IR-O-U-0642,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,46.18,95,65.26,24.23,59.23,65.34,9.48,2023
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,45.86,96,56.15,17.82,86.24,56.27,7.82,2023
